service_provider,service_model,theme_field,theme_value,normalised_theme_value,count,total_model_runs,percentage
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Extensive access to high-speed internet, advanced communication tools, and tech-industry network; attends conferences","extensive access to high-speed internet, advanced communication tools, and tech-industry network; attends conferences",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,Top-tier healthcare; personal health coach; wellness programs; private medical facilities/clinics; wellness apps/services,top-tier healthcare; personal health coach; wellness programs; private medical facilities/clinics; wellness apps/services,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Access to quality healthcare, good schools, and technological resources; community groups and tech meetups","access to quality healthcare, good schools, and technological resources; community groups and tech meetups",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"High access to quality healthcare, education, and technology services; industry conferences; subscriptions to publications","high access to quality healthcare, education, and technology services; industry conferences; subscriptions to publications",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,Personal assistant; dedicated driver for occasional errands; private medical clinic; multiple subscription services,personal assistant; dedicated driver for occasional errands; private medical clinic; multiple subscription services,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Well-connected area with healthcare, education, entertainment; building has gym and swimming pool","well-connected area with healthcare, education, entertainment; building has gym and swimming pool",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,High-speed internet; advanced healthcare; top-tier education access,high-speed internet; advanced healthcare; top-tier education access,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,Access to state-of-the-art facilities; private office; personal gym; top-tier healthcare,access to state-of-the-art facilities; private office; personal gym; top-tier healthcare,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Premium healthcare (private physician, wellness coach); multiple streaming subscriptions","premium healthcare (private physician, wellness coach); multiple streaming subscriptions",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Extensive access to high-speed internet and premium tech services (cloud, AI, cybersecurity)","extensive access to high-speed internet and premium tech services (cloud, ai, cybersecurity)",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Extensive access to high-speed internet, cloud services, tech resources; subscriptions and seminars/webinars","extensive access to high-speed internet, cloud services, tech resources; subscriptions and seminars/webinars",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,High-speed internet; personal assistant; dedicated IT support team; online courses/workshops subscriptions,high-speed internet; personal assistant; dedicated it support team; online courses/workshops subscriptions,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,Healthcare via local HMO; education for daughter; community resources; professional/meetup networks,healthcare via local hmo; education for daughter; community resources; professional/meetup networks,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Access to high-quality healthcare, education services, local amenities; uses consulting/legal/financial advisory services","access to high-quality healthcare, education services, local amenities; uses consulting/legal/financial advisory services",1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,High-speed internet; reliable cellular coverage; advanced office equipment; subscriptions to professional development and tech news services; health insurance,high-speed internet; reliable cellular coverage; advanced office equipment; subscriptions to professional development and tech news services; health insurance,1,70,1.43
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,High access to broadband/advanced tech services and high-quality healthcare; uses telemedicine,high access to broadband/advanced tech services and high-quality healthcare; uses telemedicine,1,70,1.43
