theme_field,theme_value,normalised_theme_value,model_count,models,total_count_across_models
household_composition_value,Lives with spouse and two children,lives with spouse and two children,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,2
household_composition_value,Married with two children,married with two children,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,16
household_composition_value,Married with two children (ages 10 and 12),married with two children (ages 10 and 12),2,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct,4
household_composition_value,Married with two children (ages 10 and 14),married with two children (ages 10 and 14),3,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,4
household_composition_value,Married with two children (ages 8 and 10),married with two children (ages 8 and 10),3,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,4
household_composition_value,Married with two teenage children,married with two teenage children,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,2
subject_age_or_life_stage_value,42,42,2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,11
subject_age_or_life_stage_value,"42 (adult, mid-career)","42 (adult, mid-career)",2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,6
subject_age_or_life_stage_value,42 (midlife adult),42 (midlife adult),2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,9
subject_age_or_life_stage_value,42 years old (midlife adult),42 years old (midlife adult),2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,3
subject_age_or_life_stage_value,42 years old; mid-career professional,42 years old; mid-career professional,2,huggingface::openai/gpt-oss-120b; openai::gpt-4.1-mini,10
subject_age_or_life_stage_value,45,45,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,10
subject_gender_value,Female,female,5,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; huggingface::openai/gpt-oss-120b; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,144
subject_gender_value,Male,male,4,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,58
subject_gender_value,Woman,woman,2,openai::gpt-3.5-turbo; openai::gpt-5.2,69
subject_race_ethnicity_or_cultural_background_value,Asian-American,asian-american,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,2
subject_race_ethnicity_or_cultural_background_value,Chinese-American,chinese-american,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,21
subject_race_ethnicity_or_cultural_background_value,Indian American,indian american,4,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-4.1-mini; openai::gpt-5.2,5
subject_race_ethnicity_or_cultural_background_value,Indian-American,indian-american,5,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini; openai::gpt-5.2,54
subject_race_ethnicity_or_cultural_background_value,Korean-American,korean-american,3,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-4.1-mini,5
