theme_field,theme_value,normalised_theme_value,model_count,models,total_count_across_models
household_composition_value,Lives alone,lives alone,4,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::openai/gpt-oss-120b; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,20
household_composition_value,Lives alone; single,lives alone; single,3,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,4
household_composition_value,Lives alone; single; no children,lives alone; single; no children,3,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,4
household_composition_value,Lives alone; unmarried; no children,lives alone; unmarried; no children,2,openai::gpt-3.5-turbo; openai::gpt-4.1-mini,2
household_composition_value,Single (lives alone implied),single (lives alone implied),2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,9
household_composition_value,"Single, living alone","single, living alone",2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,11
household_composition_value,"Single, no children","single, no children",2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,5
household_composition_value,Single; lives alone,single; lives alone,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,5
household_composition_value,Single; living alone,single; living alone,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,16
occupation_or_class_role_value,Digital marketing specialist at a tech startup,digital marketing specialist at a tech startup,2,openai::gpt-3.5-turbo; openai::gpt-4.1-mini,2
occupation_or_class_role_value,Marketing coordinator at a tech startup,marketing coordinator at a tech startup,2,openai::gpt-3.5-turbo; openai::gpt-4.1-mini,4
occupation_or_class_role_value,Marketing manager at a tech company,marketing manager at a tech company,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,16
occupation_or_class_role_value,Marketing manager at a tech startup,marketing manager at a tech startup,3,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,23
