service_provider,service_model,theme_field,theme_value,normalised_theme_value,count,total_model_runs,percentage
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Well-served area with hospitals, schools, grocery stores, entertainment; gym membership; cafes/restaurants nearby","well-served area with hospitals, schools, grocery stores, entertainment; gym membership; cafes/restaurants nearby",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to groceries, cafes/restaurants, gyms, healthcare; near public library and community centers","easy access to groceries, cafes/restaurants, gyms, healthcare; near public library and community centers",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to healthcare, education, shopping, entertainment; walking distance to community center, supermarkets, restaurants","easy access to healthcare, education, shopping, entertainment; walking distance to community center, supermarkets, restaurants",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to public transportation, groceries, restaurants, parks, healthcare; uses regularly","easy access to public transportation, groceries, restaurants, parks, healthcare; uses regularly",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, grocery stores, restaurants, entertainment; nearby gym","good access to healthcare, grocery stores, restaurants, entertainment; nearby gym",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Near groceries, restaurants, parks, healthcare; easy access to libraries, community centers, cultural institutions","near groceries, restaurants, parks, healthcare; easy access to libraries, community centers, cultural institutions",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare (nearby hospital/clinics), insured via employer with primary care physician; nearby groceries/shops; uses libraries and community centers","good access to healthcare (nearby hospital/clinics), insured via employer with primary care physician; nearby groceries/shops; uses libraries and community centers",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Amenities nearby (supermarkets, restaurants, clinics, cultural venues); streaming subscriptions; online grocery/necessities shopping","amenities nearby (supermarkets, restaurants, clinics, cultural venues); streaming subscriptions; online grocery/necessities shopping",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to grocery stores, cafes/restaurants, health clinics, public library, cultural events","good access to grocery stores, cafes/restaurants, health clinics, public library, cultural events",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, groceries, restaurants/cafes, gyms, cultural centers; attends yoga; parks and art galleries","good access to healthcare, groceries, restaurants/cafes, gyms, cultural centers; attends yoga; parks and art galleries",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, education, and recreation; has primary care physician; gym membership; frequents local library","good access to healthcare, education, and recreation; has primary care physician; gym membership; frequents local library",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to healthcare, education, shopping, restaurants, entertainment; uses online platforms and physical stores","easy access to healthcare, education, shopping, restaurants, entertainment; uses online platforms and physical stores",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to healthcare (15-minute walk), groceries, cafes/restaurants, cultural institutions, entertainment venues","easy access to healthcare (15-minute walk), groceries, cafes/restaurants, cultural institutions, entertainment venues",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Seamless access to healthcare, groceries, restaurants/cafes, cultural venues; uses local gym; community events","seamless access to healthcare, groceries, restaurants/cafes, cultural venues; uses local gym; community events",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Reliable access to healthcare (pediatrician, GP, hospital) and community services (early childhood education, after-school programs)","reliable access to healthcare (pediatrician, gp, hospital) and community services (early childhood education, after-school programs)",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, education, transit; family doctor; community health centers; libraries/community centers/parks","good access to healthcare, education, transit; family doctor; community health centers; libraries/community centers/parks",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, groceries, restaurants/cafes, parks; gym membership; uses libraries and cultural centers","good access to healthcare, groceries, restaurants/cafes, parks; gym membership; uses libraries and cultural centers",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to restaurants, coffee shops, grocery stores, fitness centers; uses meal delivery, ride-sharing, online grocery shopping","easy access to restaurants, coffee shops, grocery stores, fitness centers; uses meal delivery, ride-sharing, online grocery shopping",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to groceries, restaurants/cafes, healthcare, entertainment, parks, cultural/educational institutions","easy access to groceries, restaurants/cafes, healthcare, entertainment, parks, cultural/educational institutions",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to public transportation, restaurants/cafes, gyms, entertainment, grocery/convenience stores, parks/recreation","good access to public transportation, restaurants/cafes, gyms, entertainment, grocery/convenience stores, parks/recreation",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to groceries, restaurants/cafes, gyms, healthcare; uses online services (grocery delivery, streaming)","easy access to groceries, restaurants/cafes, gyms, healthcare; uses online services (grocery delivery, streaming)",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Access to urban services: grocery stores, coffee shops, restaurants; building gym/yoga; nearby hospital and primary care clinics","access to urban services: grocery stores, coffee shops, restaurants; building gym/yoga; nearby hospital and primary care clinics",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to transit, groceries, healthcare, entertainment; within 15-minute walk to supermarket, community hospital, park; nearby cafes/restaurants","good access to transit, groceries, healthcare, entertainment; within 15-minute walk to supermarket, community hospital, park; nearby cafes/restaurants",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to healthcare, groceries, museums/theaters/parks; uses online shopping/banking/entertainment","easy access to healthcare, groceries, museums/theaters/parks; uses online shopping/banking/entertainment",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Direct access to healthcare, schools, grocery stores, parks; uses hospital and daycare","direct access to healthcare, schools, grocery stores, parks; uses hospital and daycare",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Access to healthcare, education, parks, community center, libraries, recreational facilities; pediatrician within walking distance","access to healthcare, education, parks, community center, libraries, recreational facilities; pediatrician within walking distance",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Near healthcare, groceries, education, recreation; access to public and private healthcare; uses digital platforms for shopping/services","near healthcare, groceries, education, recreation; access to public and private healthcare; uses digital platforms for shopping/services",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare (clinic, hospital), groceries, pharmacies, restaurants/cafes, parks, libraries, cultural centers, community events; apartment complex gym","good access to healthcare (clinic, hospital), groceries, pharmacies, restaurants/cafes, parks, libraries, cultural centers, community events; apartment complex gym",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to transit, groceries, restaurants, healthcare; uses online delivery/services; uses public Wi‑Fi in cafes/libraries","good access to transit, groceries, restaurants, healthcare; uses online delivery/services; uses public wi‑fi in cafes/libraries",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare (2–3 hospitals within 10 minutes by subway), groceries, cafes/restaurants, parks","good access to healthcare (2–3 hospitals within 10 minutes by subway), groceries, cafes/restaurants, parks",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Community center (after-school programs, yoga), libraries, public health clinic, community garden; bus system","community center (after-school programs, yoga), libraries, public health clinic, community garden; bus system",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare (nearby hospital/clinics), pharmacy, online health services; gym membership; grocery stores within walking distance","good access to healthcare (nearby hospital/clinics), pharmacy, online health services; gym membership; grocery stores within walking distance",1,77,1.30
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to healthcare, grocery stores, restaurants, and cultural venues","easy access to healthcare, grocery stores, restaurants, and cultural venues",1,77,1.30
