service_provider,service_model,theme_field,theme_value,normalised_theme_value,count,total_model_runs,percentage
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Well-served area with hospitals, schools, grocery stores, entertainment; gym membership; cafes/restaurants nearby","well-served area with hospitals, schools, grocery stores, entertainment; gym membership; cafes/restaurants nearby",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to groceries, cafes/restaurants, gyms, healthcare; near public library and community centers","easy access to groceries, cafes/restaurants, gyms, healthcare; near public library and community centers",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to healthcare, education, shopping, entertainment; walking distance to community center, supermarkets, restaurants","easy access to healthcare, education, shopping, entertainment; walking distance to community center, supermarkets, restaurants",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Easy access to public transportation, groceries, restaurants, parks, healthcare; uses regularly","easy access to public transportation, groceries, restaurants, parks, healthcare; uses regularly",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, grocery stores, restaurants, entertainment; nearby gym","good access to healthcare, grocery stores, restaurants, entertainment; nearby gym",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Near groceries, restaurants, parks, healthcare; easy access to libraries, community centers, cultural institutions","near groceries, restaurants, parks, healthcare; easy access to libraries, community centers, cultural institutions",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare (nearby hospital/clinics), insured via employer with primary care physician; nearby groceries/shops; uses libraries and community centers","good access to healthcare (nearby hospital/clinics), insured via employer with primary care physician; nearby groceries/shops; uses libraries and community centers",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Amenities nearby (supermarkets, restaurants, clinics, cultural venues); streaming subscriptions; online grocery/necessities shopping","amenities nearby (supermarkets, restaurants, clinics, cultural venues); streaming subscriptions; online grocery/necessities shopping",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to grocery stores, cafes/restaurants, health clinics, public library, cultural events","good access to grocery stores, cafes/restaurants, health clinics, public library, cultural events",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, groceries, restaurants/cafes, gyms, cultural centers; attends yoga; parks and art galleries","good access to healthcare, groceries, restaurants/cafes, gyms, cultural centers; attends yoga; parks and art galleries",1,47,2.13
huggingface,Qwen/Qwen2.5-7B-Instruct,access_to_services_value,"Good access to healthcare, education, and recreation; has primary care physician; gym membership; frequents local library","good access to healthcare, education, and recreation; has primary care physician; gym membership; frequents local library",1,47,2.13
